frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
181,Central Zone,1,718,11.967,1.0,0.8277,0.0653,0.5192,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3751,27.8,STRAINED
181,Exit Zone,2,297,7.425,1.0,0.8277,0.0653,0.5192,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3751,27.8,STRAINED
193,Entry Zone,0,49,1.225,0.175,1.0,0.29,0.4063,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2772,31.8,CRITICAL
193,Central Zone,1,655,10.917,1.0,1.0,0.29,0.537,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4387,18.3,CRITICAL
193,Exit Zone,2,304,7.6,1.0,1.0,0.29,0.537,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4387,18.3,CRITICAL
205,Entry Zone,0,32,0.8,0.1143,1.0,0.2857,0.3986,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.263,34.0,CRITICAL
205,Central Zone,1,695,11.583,1.0,1.0,0.2857,0.5357,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4375,18.3,CRITICAL
205,Exit Zone,2,283,7.075,1.0,1.0,0.2857,0.5357,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4375,18.3,CRITICAL
217,Entry Zone,0,47,1.175,0.1679,1.0,0.202,0.3792,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2545,32.9,CRITICAL
217,Central Zone,1,662,11.033,1.0,1.0,0.202,0.5106,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4149,18.7,CRITICAL
217,Exit Zone,2,358,8.95,1.0,1.0,0.202,0.5106,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4149,18.7,CRITICAL
229,Entry Zone,0,45,1.125,0.1607,0.9465,0.1658,0.3545,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2377,32.9,CRITICAL
229,Central Zone,1,691,11.517,1.0,0.9465,0.1658,0.5117,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4034,21.2,CRITICAL
229,Exit Zone,2,306,7.65,1.0,0.9465,0.1658,0.5117,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4034,21.2,CRITICAL
241,Entry Zone,0,50,1.25,0.1786,0.425,0.105,0.2263,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.218,3.7,CRITICAL
